name,definition
aberration,Deviation from what is correct or right.
abeyance,Suspension of an activity; postponement.
abstemious,Sparing in use of food or drink; moderate.
abstruse,Concealed; difficult to comprehend; obscure.
accolade,Embrace; award; commendation.
acerbic,Bitter; harsh; caustic.
acrimonious,Sarcastic; caustic; angry; mordant.
acuity,Sharpness; acuteness; keenness.
acute,1. Perceptive. 2. Excruciating.
adept,Proficient; masterful; expert.
adherent,Believer; supporter; devotee.
adjunct,1. Attachment; appendage. 2. Subordinate or auxiliary capacity.
admonish,Caution; reprove mildly; reprimand.
adroit,Dexterous; proficient; skillful.
adulation,Excessive flattery; adoration; idolization.
adulterate,Make impure or inferior by adding improper ingredients; contaminate; pollute.
advocate,1. Argue for a cause; defend. 2. Support; uphold.
aesthete,Person who cultivates beauty or art; connoisseur.
aggrandize,Make more powerful; amplify; increase.
alacrity,Eagerness; zeal; speed.
altruistic,Concerned about the general welfare of others; charitable; generous.
ambivalence,Uncertainty; doubt; indecisiveness.
ambulatory,Able to walk; not stationary.
ameliorate,Make better; improve.
amiable,Cordial; of pleasant disposition; friendly.
amorphous,Without structure; shapeless; nebulous.
animate,Energize; enliven.
anomaly,Abnormality; deviation from the general rule; irregularity.
antediluvian,Ancient; antiquated; obsolete.
antipathy,Feeling of opposition or repugnance; aversion; dislike.
apathy,Lack of concern; emotion or interest; indifference.
aperture,Gap; opening; orifice.
apocryphal,False; unauthenticated; disputed.
apotheosis,1. Essence; epitome. 2. Canonization.
appease,Satisfy; make peace; placate.
approbatory,Expressing approval.
arable,Suitable for cultivation or plowing.
arrogant,Feeling superior to other people; egotistical.
ascetic,Strict; austere.
assuage,Ease; make less burdensome; mitigate.
atrophy,Waste away from lack of use; degenerate.
audacity,Boldness or adventurousness; gall.
authoritarian,1. Person who acts like a dictator; tyrant. 2. Disciplinarian.
avarice,Extreme desire for wealth; greed; acquisitiveness.
aviary,Large enclosure confining birds.
avouch,Guarantee; take responsibility for; affirm.
avow,Affirm; assert; declare; acknowledge.
baleful,Sorrowful; sinister; evil.
balm,Soothing ointment for pain or healing; salve.
banal,Trite; insipid; ordinary.
bane,Deadly affliction; curse; plague.
barbarity,Cruel action; inhuman act; harsh conduct.
barren,1. Infertile; impotent. 2. Arid; unproductive.
befuddle,Stupefy or confuse; misconstrue.
belated,Tardy; overdue.
beleaguer,Besiege; surround.
belittle,Humiliate; tease; diminish in importance.
bemoan,1. Experience pain or distress. 2. Express pity for; mourn.
bemused,Preoccupied by thought; bewildered; perplexed.
bilk,Defraud; deceive; hoodwink.
blandishment,Cajolery; enticement.
bliss,Gaiety; happiness; enjoyment.
blithe,Happy; pleased; delighted.
boisterous,Noisy; loud; violent; rowdy.
boorish,Ill-mannered; rude; gauche.
brevity,Briefness; succinctness; terseness.
broach,Introduce; bring up; mention.
browbeat,Intimidate; harass; dominate.
bungle,Botch; mismanage; spoil.
buttress,Truss; foundation; support.
cacophonous,Discordant; dissident; harsh.
callow,Inexperienced; immature; naive.
candid,Frank; blunt; open.
carouse,Drink to excess; live it up.
cease,Stop; end; halt.
celerity,Swift motion; speed; alacrity.
censorious,Critical; attacking; denouncing.
charlatan,Fraud; person claiming knowledge he/she does not have; humbug; fake; hustler.
chary,Careful; cautious.
chasten,Castigate; punish; reprove.
cherubic,Sweet; kind; innocent.
chimerical,Fanciful; whimsical; playful.
chronic,Compulsive; typical; habitual; inveterate.
churlish,Selfish; rancorous; surly.
circuitous,Indirect; roundabout; rambling.
clamor,Loud noise or complaint; commotion; din.
clandestine,Furtive; surreptitious; secret.
clemency,Lenience; mercy; compassion.
cloister,Convent; monastery; religious place.
coagulate,Congeal; curdle; clot.
coalesce,Combine; incorporate; merge.
coddle,Pamper; overindulge; baby; spoil.
coercion,Intimidation; duress; force; compulsion.
cognate,Related by blood; having the same origin.
commensurate,Equal in measure; of the same duration or size.
compile,Collect data; accumulate; amass.
concomitant,Concurrent; attendant; occurring with something else.
concordance,Agreement; treaty; accord.
confluence,Nexus; union; meeting; conflux.
confound,Perplex; baffle; confuse.
conglomerate,Corporation; partnership; firm.
conjugal,Matrimonial; nuptial; marital.
constrict,Squeeze; pinch; obstruct; block.
contentious,Argumentative; pugnacious; quarrelsome.
contrite,Penitent; apologetic; remorseful.
conundrum,Mystery; puzzle.
convoke,Convene; assemble.
copious,Plentiful; ample; profuse.
corpulence,Stoutness; obesity.
coterie,Small group of people who share interests and meet frequently.
crass,Vulgar; grossly ignorant; indelicate.
credulous,Gullible; unsuspecting; naive.
cryptic,Enigmatic; obscure; secret; puzzling.
ctenoid,Comblike; having narrow segments.
cuboid,Having the shape of a cube.
cucullate,Hood-shaped.
daub,Blur; smear; spread.
